tipo	marca	modelo	calibre	funcionamento
Pistola	Taurus	PT 59	.380 ACP	Semi-auto
Pistola	Taurus	PT 638	.380 ACP	Semi-auto
Pistola	Taurus	PT 58HC	.380 ACP	Semi-auto
Pistola	Glock	G17	9mm	Semi-auto
Pistola	Taurus	PT 838	.380 ACP	Semi-auto
Pistola	Taurus	PT 845	.45 ACP	Semi-auto
Pistola	Taurus	PT 917	9mm	Semi-auto
Pistola	Taurus	PT 938	.380 ACP	Semi-auto
Pistola	Taurus	PT 1911	.45 ACP	Semi-auto
Pistola	Taurus	PT 1911	9mm	Semi-auto
Pistola	Taurus	G2C	.38TPC	Semi-auto
Pistola	Taurus	G2C	.40S&W	Semi-auto
Pistola	Taurus	G2C	9mm	Semi-auto
Pistola	Taurus	G3	9mm	Semi-auto
Pistola	Taurus	G3C	9mm	Semi-auto
Pistola	Taurus	GX4	9mm	Semi-auto
Pistola	Taurus	GX4 Carry	.38TPC	Semi-auto
Pistola	Taurus	GX4 Carry	9mm	Semi-auto
Pistola	Taurus	PT101	.40S&W	Semi-auto
Pistola	Taurus	PT100	.40S&W	Semi-auto
Pistola	Taurus	PT 57	7.65mm	Semi-auto
Pistola	Taurus	PT 92	9mm	Semi-auto
Pistola	Taurus	TH10	10mm	Semi-auto
Pistola	Taurus	TH380	.380 ACP	Semi-auto
Carabina	Taurus	CTT-40	.40S&W	Semi-auto
Pistola	Imbel	MD1	.380 ACP	Semi-auto
Pistola	CZ	P10	9mm	Semi-auto
Pistola	IWI	Masada	9mm	Semi-auto
Carabina	Brigade	BM9	9mm	Semi-auto
Pistola	Girsan	MC9	9mm	Semi-auto
Pistola	Arex	Zero 1	9mm	Semi-auto
Pistola	Beretta	APX	9mm	Semi-auto
Pistola	Springfield	Hellcat	9mm	Semi-auto
Shotgun	Hatsan	Escort	12GA	Semi-auto
Carabina	FireEagle	FE-9	9mm	Semi-auto
Shotgun	Stoeger	M3000	12GA	Semi-auto
Pistola	Glock	G19	9mm	Semi-auto
Pistola	Taurus	TH40	.40S&W	Semi-auto
Pistola	Taurus	TH45	.45 ACP	Semi-auto
Pistola	Imbel	MD2	.380 ACP	Semi-auto
Pistola	CZ	SHADOW	9mm	Semi-auto
Pistola	IWI	Jericho	9mm	Semi-auto
Pistola	Girsan	MC1911	.45 ACP	Semi-auto
Pistola	DFA	Arex Delta	9mm	Semi-auto
Pistola	Beretta	PX4	9mm	Semi-auto
Pistola	Springfield	1911	.45 ACP	Semi-auto
Pistola	Stoeger	STR-9	9mm	Semi-auto
Pistola	Glock	G20	10mm	Semi-auto
Pistola	Taurus	TH9	9mm	Semi-auto
Pistola	Imbel	MD1	9mm	Semi-auto
Pistola	CZ	SHADOW 2	9mm	Semi-auto
Pistola	Girsan	MC28	9mm	Semi-auto
Pistola	Arex	Alpha	9mm	Semi-auto
Pistola	Beretta	PX4	.40S&W	Semi-auto
Carabina	Springfield	Saint	5.56	Semi-auto
Shotgun	Stoeger	M3500	12GA	Semi-auto
Pistola	Glock	G21	.45 ACP	Semi-auto
Pistola	Imbel	MD6	.40S&W	Semi-auto
Pistola	CZ	75	9mm	Semi-auto
Pistola	Arex	Zero 2	9mm	Semi-auto
Pistola	Beretta	PX4	.45 ACP	Semi-auto
Carabina	Springfield	M1A	.308 Win	Semi-auto
Pistola	Glock	G22	.40S&W	Semi-auto
Pistola	Imbel	MD7	.40S&W	Semi-auto
Pistola	CZ	97	9mm	Semi-auto
Pistola	Beretta	950	6.35mm	Semi-auto
Pistola	Springfield	XD-M	9mm	Semi-auto
Pistola	Glock	G23	.40S&W	Semi-auto
Pistola	Imbel	MD2 45	.45 ACP	Semi-auto
Pistola	Springfield	XD-M 40	.40S&W	Semi-auto
Pistola	Glock	G25	.380 ACP	Semi-auto
Pistola	Glock	G26	9mm	Semi-auto
Pistola	Glock	G27	.40S&W	Semi-auto
Pistola	Glock	G28	.380 ACP	Semi-auto
Pistola	Glock	G29	10mm	Semi-auto
Pistola	Glock	G30	.45 ACP	Semi-auto
Pistola	Glock	G34	9mm	Semi-auto
Pistola	Glock	G35	.40S&W	Semi-auto
Pistola	Glock	G41	.45 ACP	Semi-auto
Pistola	Glock	G42	.380 ACP	Semi-auto
Pistola	Glock	G43	9mm	Semi-auto
Pistola	Glock	G44	.22LR	Semi-auto
Pistola	Glock	G45	9mm	Semi-auto
Pistola	Glock	G48	9mm	Semi-auto
Pistola	Imbel	MD6	9mm	Semi-auto
Pistola	Imbel	MD6	.380 ACP	Semi-auto
Pistola	Stoeger	STR-45	9mm	Semi-auto
Pistola	Taurus	TS9	9mm	Semi-auto
Revolver	Taurus	RT 096	.22LR	Repetição
Revolver	Taurus	RT 942	.22LR	Repetição
Revolver	Taurus	RT 970	.22LR	Repetição
Revolver	Taurus	RT 064	.357Mag	Repetição
Revolver	Taurus	RT 992	.22LR	Repetição
Revolver	Taurus	RT 992	.22Mag	Repetição
Revolver	Taurus	RT 357	.357Mag	Repetição
Revolver	Taurus	RT 605	.357Mag	Repetição
Revolver	Taurus	RT 608	.357Mag	Repetição
Revolver	Taurus	RT 627	.357Mag	Repetição
Revolver	Taurus	RT 66	.357Mag	Repetição
Revolver	Taurus	RM64	.357Mag	Repetição
Revolver	Taurus	RM64	.38 SPL	Repetição
Revolver	Taurus	RT 856	.38 SPL	Repetição
Revolver	Taurus	Imperador	.38 SPL	Repetição
Revolver	Taurus	RT 817	.38 SPL	Repetição
Revolver	Taurus	RT 38	.38 SPL	Repetição
Revolver	Taurus	RT 82	.38 SPL	Repetição
Revolver	Taurus	RT 838	.38 SPL	Repetição
Revolver	Taurus	RT 85	.38 SPL	Repetição
Revolver	Taurus	RT 88	.38 SPL	Repetição
